class,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28
PUSHup,0.7553474307060242,0.3893188238143921,-0.03920956328511238,0.9998565316200256,0.6993763446807861,0.3178737759590149,0.2277936041355133,0.9982736110687256,0.7184112071990967,0.3448639512062073,-0.23154917359352112,0.9999552965164185,0.6904181241989136,0.4771048426628113,0.27860206365585327,0.35527029633522034,0.7055310606956482,0.5075996518135071,-0.2954646050930023,0.9959226846694946,0.7041233777999878,0.6006829738616943,0.19190900027751923,0.45068222284317017,0.7355507016181946,0.6637551188468933,-0.24150577187538147,0.9688835144042969,0.4852284789085388,0.324605256319046,0.14716531336307526,0.9985354542732239,0.4862115979194641,0.34808921813964844,-0.1470944583415985,0.9995738863945007,0.35640189051628113,0.4510883688926697,0.20139260590076447,0.3047807812690735,0.34618791937828064,0.47510895133018494,-0.11199605464935303,0.9924028515815735,0.20487026870250702,0.5172500014305115,0.3114229142665863,0.6401863098144531
PUSHup,0.7570428848266602,0.3889429271221161,-0.04885479062795639,0.9998562932014465,0.7004549503326416,0.31895676255226135,0.22226989269256592,0.9982703328132629,0.7193594574928284,0.34479638934135437,-0.23178116977214813,0.9999544024467468,0.6905882954597473,0.47796452045440674,0.27534231543540955,0.3583161234855652,0.7055377960205078,0.5071006417274475,-0.2942408621311188,0.995918869972229,0.7041277289390564,0.6019090414047241,0.19193831086158752,0.4549565315246582,0.7352732419967651,0.6634016633033752,-0.24225422739982605,0.9690161347389221,0.48658785223960876,0.32455888390541077,0.14622417092323303,0.9984903335571289,0.4868745803833008,0.3461982011795044,-0.14613458514213562,0.9995479583740234,0.35728275775909424,0.451093465089798,0.18606548011302948,0.300242155790329,0.3481210172176361,0.4743615984916687,-0.10541336238384247,0.9921647310256958,0.20522332191467285,0.517203688621521,0.28302282094955444,0.6343703269958496
PUSHup,0.7589660286903381,0.3887084126472473,-0.06529516726732254,0.9998576641082764,0.7017194032669067,0.32051554322242737,0.21368829905986786,0.9982942342758179,0.7197645902633667,0.34478092193603516,-0.24104556441307068,0.9999539256095886,0.6907044649124146,0.47849375009536743,0.2668076157569885,0.36330801248550415,0.7054764628410339,0.5071036219596863,-0.30110877752304077,0.9959530234336853,0.7041561603546143,0.601528525352478,0.18223340809345245,0.4604169428348541,0.7349339127540588,0.6634004712104797,-0.24715688824653625,0.9690515398979187,0.487098753452301,0.32483550906181335,0.14619632065296173,0.9984737038612366,0.48681631684303284,0.34462082386016846,-0.14610780775547028,0.9995294809341431,0.357992023229599,0.4513416886329651,0.1857266128063202,0.2999557852745056,0.34925028681755066,0.4741186201572418,-0.10375505685806274,0.9921619892120361,0.20537444949150085,0.5168481469154358,0.28175482153892517,0.6341443657875061
PUSHup,0.7620845437049866,0.3885890245437622,-0.0768665298819542,0.9998592734336853,0.703933596611023,0.322075217962265,0.210415318608284,0.9983365535736084,0.7199428081512451,0.3441711962223053,-0.2523016929626465,0.9999539256095886,0.6921341419219971,0.4800245463848114,0.26073428988456726,0.3711049556732178,0.7052689790725708,0.5070747137069702,-0.31159478425979614,0.9960189461708069,0.7048757076263428,0.601892352104187,0.16470050811767578,0.4695923924446106,0.734944224357605,0.6634657382965088,-0.25811517238616943,0.9694576859474182,0.4890429973602295,0.32552841305732727,0.14744822680950165,0.998464047908783,0.48701587319374084,0.34111303091049194,-0.14735543727874756,0.9995177984237671,0.36004942655563354,0.45147302746772766,0.18970637023448944,0.3025372624397278,0.35020285844802856,0.4734976589679718,-0.10484955459833145,0.9923151731491089,0.20581753551959991,0.5165039896965027,0.2929146885871887,0.636908769607544
PUSHup,0.763184666633606,0.3883567452430725,-0.07756154239177704,0.9998622536659241,0.7047923803329468,0.321991890668869,0.20288272202014923,0.998367428779602,0.7206752300262451,0.3439840078353882,-0.25344645977020264,0.9999539852142334,0.6924675703048706,0.4807914197444916,0.2545319199562073,0.37993115186691284,0.7051221132278442,0.5070704221725464,-0.3128316104412079,0.9960677027702332,0.7050118446350098,0.6033919453620911,0.16218170523643494,0.48052486777305603,0.7347740530967712,0.6637091040611267,-0.2616821825504303,0.9701870679855347,0.4897988438606262,0.32557404041290283,0.14738360047340393,0.9984497427940369,0.48708218336105347,0.3391718864440918,-0.14729705452919006,0.9995099306106567,0.36390429735183716,0.4515107572078705,0.19201964139938354,0.3091315031051636,0.3523717522621155,0.4735325574874878,-0.10901211202144623,0.9925698637962341,0.2067573368549347,0.5156415104866028,0.29597097635269165,0.6423464417457581
PUSHup,0.7646715641021729,0.386922687292099,-0.11184404045343399,0.9998652935028076,0.7056745290756226,0.3228488862514496,0.19766682386398315,0.9983740448951721,0.7217538356781006,0.3428133428096771,-0.2606711983680725,0.9999529123306274,0.6926597952842712,0.48156848549842834,0.24739721417427063,0.386035293340683,0.7051275968551636,0.5070783495903015,-0.3158344328403473,0.996148943901062,0.7051610350608826,0.603428304195404,0.1536947786808014,0.4888617992401123,0.7345491647720337,0.6639507412910461,-0.25966235995292664,0.9701086282730103,0.49048566818237305,0.32615023851394653,0.14734965562820435,0.9984065890312195,0.48719877004623413,0.33806750178337097,-0.1472676694393158,0.999487042427063,0.36356812715530396,0.45267581939697266,0.19269070029258728,0.31458771228790283,0.352152943611145,0.47354164719581604,-0.10848335176706314,0.9926856756210327,0.20718154311180115,0.5152601599693298,0.2982637286186218,0.6453040242195129
PUSHup,0.7648277878761292,0.38629254698753357,-0.1129298061132431,0.9998669624328613,0.7064279317855835,0.3226376473903656,0.19966134428977966,0.9984070062637329,0.7219415903091431,0.34267160296440125,-0.268404483795166,0.9999539852142334,0.6927728056907654,0.4813077747821808,0.2505326271057129,0.3936123549938202,0.705125093460083,0.5070744156837463,-0.32746168971061707,0.9962940812110901,0.7052882313728333,0.6032690405845642,0.15546511113643646,0.4991455376148224,0.7344551086425781,0.6639823317527771,-0.28147393465042114,0.970834493637085,0.49141725897789,0.32613006234169006,0.15043358504772186,0.9983996748924255,0.4873787462711334,0.3358345925807953,-0.15036922693252563,0.9994950890541077,0.37101173400878906,0.4525047838687897,0.22145824134349823,0.3220917582511902,0.35511261224746704,0.4733472466468811,-0.14267082512378693,0.9930239319801331,0.21003150939941406,0.5131717920303345,0.3561273515224457,0.6502453088760376
PUSHup,0.7653546929359436,0.3858710527420044,-0.10384131968021393,0.9998663067817688,0.7068542242050171,0.3231944739818573,0.20036104321479797,0.9984176158905029,0.7221960425376892,0.3422654867172241,-0.2685515284538269,0.9999536871910095,0.692973792552948,0.48132601380348206,0.2517956495285034,0.39689725637435913,0.7050677537918091,0.5070817470550537,-0.3278196454048157,0.9963737726211548,0.7052832841873169,0.603066623210907,0.15571358799934387,0.5036595463752747,0.7339580655097961,0.663888156414032,-0.27527332305908203,0.9711416363716125,0.4915781617164612,0.3268720209598541,0.15085791051387787,0.9983795285224915,0.4873434603214264,0.3355189263820648,-0.15078093111515045,0.9994824528694153,0.3698553144931793,0.4524618685245514,0.21950268745422363,0.32779020071029663,0.3544178903102875,0.47307461500167847,-0.13141606748104095,0.993242621421814,0.21027640998363495,0.5127968788146973,0.351963609457016,0.6549690365791321
PUSHup,0.7659853100776672,0.3858456611633301,-0.09565208107233047,0.99986332654953,0.7068943381309509,0.3232646882534027,0.20204441249370575,0.998424232006073,0.7221112847328186,0.34228572249412537,-0.2686104476451874,0.9999524354934692,0.693526566028595,0.4816006124019623,0.252959668636322,0.4012187719345093,0.7050461769104004,0.5071970820426941,-0.3278645873069763,0.9963645339012146,0.7053037285804749,0.6035071611404419,0.15566197037696838,0.5071045160293579,0.7337779998779297,0.6639552712440491,-0.27287203073501587,0.9712796807289124,0.4914344847202301,0.32683292031288147,0.15129342675209045,0.9983582496643066,0.48731082677841187,0.3353792726993561,-0.15119948983192444,0.9994584918022156,0.3687930405139923,0.4528576135635376,0.20374076068401337,0.32964658737182617,0.35395941138267517,0.47305619716644287,-0.11806409060955048,0.9932554364204407,0.210158109664917,0.5130826830863953,0.31865859031677246,0.6558642983436584
PUSHup,0.7665824890136719,0.38538089394569397,-0.10368862003087997,0.9998644590377808,0.7069769501686096,0.3230521082878113,0.19693751633167267,0.998443067073822,0.7220546007156372,0.3416556417942047,-0.2693037688732147,0.9999521970748901,0.6938203573226929,0.48145753145217896,0.24858920276165009,0.40660977363586426,0.7050458192825317,0.5072028040885925,-0.32799285650253296,0.9964764714241028,0.7052295207977295,0.6033859848976135,0.1557658314704895,0.5139245390892029,0.7335522770881653,0.6641173958778381,-0.27421289682388306,0.9718567728996277,0.4914676249027252,0.32668009400367737,0.1509104073047638,0.9983231425285339,0.48729148507118225,0.33431896567344666,-0.15081116557121277,0.9994344711303711,0.37115317583084106,0.45287516713142395,0.19180172681808472,0.32976019382476807,0.3559359908103943,0.47186195850372314,-0.11798183619976044,0.9931802749633789,0.21085789799690247,0.5131060481071472,0.294333279132843,0.6523563265800476
